Action id,"
Municipality/Region name ",Province,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)"
ID-Delta-001,Delta,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Ongoing
ID-Delta-002,Delta,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete
ID-Delta-003,Delta,British Columbia,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Complete
ID-Delta-004,Delta,British Columbia,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Complete
ID-Delta-005,Delta,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete
ID-Delta-006,Delta,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Complete
ID-Delta-007,Delta,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Complete
ID-Delta-008,Delta,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Delta-009,Delta,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Complete
ID-Delta-010,Delta,British Columbia,Public investment,Invest in Technology Development and Deployment ,City piloting of new building technologies,No,No,Complete
ID-Delta-011,Delta,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned
ID-District Municipality of Muskoka-001,District Municipality of Muskoka,Ontario,,,,No,No,Not indicated
ID-District Municipality of Muskoka-002,District Municipality of Muskoka,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Not indicated
ID-District Municipality of Muskoka-003,District Municipality of Muskoka,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not indicated
ID-District Municipality of Muskoka-004,District Municipality of Muskoka,Ontario,,,,No,No,Not indicated
ID-District Municipality of Muskoka-005,District Municipality of Muskoka,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Not indicated
ID-District Municipality of Muskoka-006,District Municipality of Muskoka,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-District Municipality of Muskoka-007,District Municipality of Muskoka,Ontario,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Not indicated
ID-District Municipality of Muskoka-008,District Municipality of Muskoka,Ontario,Voluntary action,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.","Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Not indicated
ID-District Municipality of Muskoka-009,District Municipality of Muskoka,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Not indicated
ID-District of North Vancouver-001,District of North Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-District of North Vancouver-002,District of North Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-District of North Vancouver-003,District of North Vancouver,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-District of North Vancouver-004,District of North Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-District of North Vancouver-005,District of North Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes and green-building principles by providing information, technical assistance",No,No,Underway
ID-District of North Vancouver-006,District of North Vancouver,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-District of North Vancouver-007,District of North Vancouver,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-District of North Vancouver-008,District of North Vancouver,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-District of North Vancouver-009,District of North Vancouver,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-District of Saanich-001,District of Saanich,British Columbia,,,,No,No,Underway
ID-District of Saanich-002,District of Saanich,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-District of Saanich-003,District of Saanich,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-District of Saanich-004,District of Saanich,British Columbia,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-District of Saanich-005,District of Saanich,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway
ID-District of Saanich-006,District of Saanich,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-District of Saanich-007,District of Saanich,British Columbia,Public investment,Invest in Technology Development and Deployment ,,No,No,Underway
ID-District of Saanich-008,District of Saanich,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-District of Saanich-009,District of Saanich,British Columbia,Mandates,,,No,No,Underway
ID-District of Saanich-010,District of Saanich,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-District of Saanich-011,District of Saanich,British Columbia,,,,No,No,Underway
ID-District of Saanich-012,District of Saanich,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-District of Saanich-013,District of Saanich,British Columbia,Price signals,Increase Access to Financing,,No,No,Underway
ID-District of Saanich-014,District of Saanich,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-District of Saanich-015,District of Saanich,British Columbia,,,,No,No,Underway
ID-District of Saanich-016,District of Saanich,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-District of Saanich-017,District of Saanich,British Columbia,,,,No,No,Underway
ID-District of Saanich-018,District of Saanich,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Underway
ID-District of Saanich-019,District of Saanich,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned
ID-District of Saanich-020,District of Saanich,British Columbia,Mandates,Mandate Reporting,Adopt Building Energy and Reporting Disclosure ordinances,No,No,Planned
ID-District of Saanich-021,District of Saanich,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",No,No,Planned
ID-District of Saanich-022,District of Saanich,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned
ID-District of Saanich-023,District of Saanich,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-District of Saanich-024,District of Saanich,British Columbia,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-District of Saanich-025,District of Saanich,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-District of Sooke-001,District of Sooke,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,Yes,Ongoing
ID-District of Sooke-002,District of Sooke,British Columbia,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,Yes,Ongoing
ID-District of Sooke-003,District of Sooke,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing
ID-District of Sooke-004,District of Sooke,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,,No,No,Planned
ID-District of Sooke-005,District of Sooke,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,Yes,Planned
ID-District of Sooke-006,District of Sooke,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-District of Sooke-007,District of Sooke,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-District of Sooke-008,District of Sooke,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-District of Sooke-009,District of Sooke,British Columbia,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Planned
ID-District of Sooke-010,District of Sooke,British Columbia,,,,No,No,Planned
ID-District of Sooke-011,District of Sooke,British Columbia,,,,No,No,Planned
ID-District of Sooke-012,District of Sooke,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Planned
ID-District of Sooke-013,District of Sooke,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Planned
ID-District of Sooke-014,District of Sooke,British Columbia,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Planned
ID-District of Sooke-015,District of Sooke,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Planned
ID-District of Sooke-016,District of Sooke,British Columbia,Mandates,,,No,No,Planned
ID-District of Sooke-017,District of Sooke,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-District of Sooke-018,District of Sooke,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,Yes,Underway
ID-District of Sooke-019,District of Sooke,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,Yes,Complete
ID-Dufferin-001,Dufferin,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Dufferin-002,Dufferin,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Dufferin-003,Dufferin,Ontario,Mandates,,,No,No,Planned
ID-Dufferin-004,Dufferin,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,,No,No,Planned
ID-Dufferin-005,Dufferin,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Planned
ID-Dufferin-006,Dufferin,Ontario,Price signals,Subsidize Capacity Improvements for Building Management,Support efforts to train building operators in energy efficiency best practices,No,No,Planned
ID-Durham Region-001,Durham Region,Ontario,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Not indicated
ID-Durham Region-002,Durham Region,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Durham Region-003,Durham Region,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Durham Region-004,Durham Region,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Durham Region-005,Durham Region,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Durham Region-006,Durham Region,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Edmonton-001,Edmonton,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Edmonton-002,Edmonton,Alberta,Public investment,Expand capacity of efficient heating and cooling\Invest in Technology Development and Deployment,Develop and expand low- to no-carbon district heating and cooling systems ,No,No,Underway
ID-Edmonton-003,Edmonton,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Edmonton-004,Edmonton,Alberta,,,,No,No,Underway
ID-Edmonton-005,Edmonton,Alberta,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Edmonton-006,Edmonton,Alberta,,,,No,No,Underway
ID-Edmonton-007,Edmonton,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway
ID-Edmonton-008,Edmonton,Alberta,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-Edmonton-009,Edmonton,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Edmonton-010,Edmonton,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Edmonton-011,Edmonton,Alberta,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote voluntary energy use benchmarking programs,No,No,Underway
ID-Edmonton-012,Edmonton,Alberta,Mandates,Mandate Performance Improvement of Existing Buildings,,No,No,Underway
ID-Edmonton-013,Edmonton,Alberta,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Work with utilities to improve customer access to energy use data ,No,No,Underway
ID-Edmonton-014,Edmonton,Alberta,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Edmonton-015,Edmonton,Alberta,Price signals,Increase Access to Financing,Advocate for and/or Improve access to specialized financing for low income households for retrofitting and efficiency improvements,No,No,Underway
ID-Edmonton-016,Edmonton,Alberta,Price signals,Increase Access to Financing,Advocate for and/or Improve access to specialized financing for low income households for retrofitting and efficiency improvements,No,No,Underway
ID-Edmonton-017,Edmonton,Alberta,,,,No,No,Underway
ID-Edmonton-018,Edmonton,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Edmonton-019,Edmonton,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Edmonton-020,Edmonton,Alberta,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Underway
ID-Esquimalt-001,Esquimalt,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,Yes,No,Ongoing
ID-Esquimalt-002,Esquimalt,British Columbia,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Ongoing
ID-Esquimalt-003,Esquimalt,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing
ID-Esquimalt-004,Esquimalt,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,Yes,No,Ongoing
ID-Esquimalt-005,Esquimalt,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,,Yes,No,Ongoing
ID-Esquimalt-006,Esquimalt,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing
ID-Esquimalt-007,Esquimalt,British Columbia,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",Yes,Yes,Ongoing
ID-Esquimalt-008,Esquimalt,British Columbia,Mandates,Mandate Performance Improvement of Existing Buildings,"Require “deep” retrofitting of buildings at designated intervention points: time of sale/purchase, financing, major renovation of building or space, and rebuilding",Yes,Yes,Ongoing
ID-Esquimalt-009,Esquimalt,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,Yes,Ongoing
ID-Esquimalt-010,Esquimalt,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,Yes,Yes,Ongoing
ID-Esquimalt-011,Esquimalt,British Columbia,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",Yes,Yes,Ongoing
ID-Esquimalt-012,Esquimalt,British Columbia,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,Yes,No,Ongoing
ID-Esquimalt-013,Esquimalt,British Columbia,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,Yes,No,Ongoing
ID-Fredericton-001,Fredericton,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Fredericton-002,Fredericton,New Brunswick,Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway
ID-Fredericton-003,Fredericton,New Brunswick,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway
ID-Fredericton-004,Fredericton,New Brunswick,Public investment,Invest in Technology Development and Deployment ,Support Municipal Strategic Energy Management program,No,No,Underway
ID-Fredericton-005,Fredericton,New Brunswick,Price signals,,,No,No,Underway
ID-Fredericton-006,Fredericton,New Brunswick,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Fredericton-007,Fredericton,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Fredericton-008,Fredericton,New Brunswick,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway
ID-Fredericton-009,Fredericton,New Brunswick,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Work with utilities to improve customer access to energy use data ,No,No,Underway
ID-Fredericton-010,Fredericton,New Brunswick,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway
ID-Fredericton-011,Fredericton,New Brunswick,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway
ID-Fredericton-012,Fredericton,New Brunswick,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway
ID-Fredericton-013,Fredericton,New Brunswick,,,,No,No,Underway
ID-Fredericton-014,Fredericton,New Brunswick,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),No,No,Underway
ID-Fredericton-015,Fredericton,New Brunswick,,,,No,No,Underway
ID-Fredericton-016,Fredericton,New Brunswick,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Underway
ID-Fredericton-017,Fredericton,New Brunswick,Price signals,,,No,No,Underway
ID-Fredericton-018,Fredericton,New Brunswick,Price signals,Support/Provide Rewards for Performance,Promote supportive market mechanisms such as building appraisal and mortgage underwriting that capture the value of investments in energy efficiency,No,No,Underway
ID-Fredericton-019,Fredericton,New Brunswick,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Greater Sudbury-001,Greater Sudbury,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Not Indicated
ID-Greater Sudbury-002,Greater Sudbury,Ontario,Price signals,Support/Provide Rewards for Performance,"Provide regulatory and zoning relief for projects meeting certifiable high standards (e.g., LEED)",No,No,Not Indicated
ID-Greater Sudbury-003,Greater Sudbury,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway
ID-Greater Sudbury-004,Greater Sudbury,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Planned
ID-Greater Sudbury-005,Greater Sudbury,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Planned
ID-Greater Sudbury-006,Greater Sudbury,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Underway
ID-Grey County-001,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Not indicated
ID-Grey County-002,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Grey County-003,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Not indicated
ID-Grey County-004,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Grey County-005,Grey County,Ontario,,,,No,No,Not indicated
ID-Grey County-006,Grey County,Ontario,Voluntary action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Not indicated
ID-Grey County-007,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Not indicated
ID-Grey County-008,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or Improve access to specialized financing for low income households for retrofitting and efficiency improvements,No,No,Not indicated
ID-Grey County-009,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Grey County-010,Grey County,Ontario,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Not indicated
ID-Grey County-011,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,,No,No,Not indicated
ID-Grey County-012,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Grey County-013,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Not indicated
ID-Grey County-014,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Not indicated
ID-Grey County-015,Grey County,Ontario,Price signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Not indicated
ID-Grey County-016,Grey County,Ontario,Price signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Not indicated
ID-Grey County-017,Grey County,Ontario,,,,No,No,Not indicated
ID-Grey County-018,Grey County,Ontario,,,,No,No,Not indicated
ID-Grey County-019,Grey County,Ontario,Voluntary action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders.",No,No,Not indicated
ID-Grey County-020,Grey County,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated
ID-Grey County-021,Grey County,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated
ID-Grey County-022,Grey County,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Improve energy efficiency of public/government-owned buildings or housing,No,No,Not indicated
ID-Grey County-023,Grey County,Ontario,Public investment,Model the Behavior Invest in Energy Efficiency Improvements or Retrofitting of Government Buildings,Conduct deep retrofitting and/or installation of on-site renewable energy supply,No,No,Not indicated
